Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
154,why,A1,adv.; conj.; noun,/waɪ/,为什么；……的原因,why not;the reason why;why so,Why are you learning English?,你为什么学英语？,how come;the reason,,That's why… = 那就是……的原因。
155,while,A1,conj.; noun; verb,/waɪl/,当……时；而；一会儿,for a while;after a while;while away,She read a book while waiting for the bus.,等公交时她读了一本书。,during;whereas;period,,既表同时，也可表对比。
156,world,A1,noun,/wɜːld/,世界；领域；尘世,all over the world;in the world;world of,People around the world celebrate the New Year.,世界各地的人们庆祝新年。,earth;globe;sphere,,the whole world = 全世界。
157,week,A1,noun,/wiːk/,周；星期,next week;this week;once a week,We have three meetings this week.,我们这周有三次会议。,seven days,,weekend = 周末。
158,play,A1,verb; noun,/pleɪ/,玩；演奏；比赛；戏剧,play a role;play football;at play,The children play in the garden after school.,孩子们放学后在花园里玩。,perform;act;game,work,play the piano；但 play football 无 the。
159,might,A1,modal; noun,/maɪt/,可能；也许；力量,might be;might as well;with might,It might rain later this afternoon.,今天下午晚些时候可能会下雨。,may;could;power,,比 may 更不确定；也可作名词“力量”。
160,must,A1,modal; noun,/mʌst/,必须；一定；必备之物,must be;must have;a must,You must wear a helmet on the site.,在工地上你必须戴头盔。,have to;need to;should,mustn't;needn't,mustn't=禁止；needn't=不必。
161,home,A1,noun; adv.; adj.,/həʊm/,家；回家；家庭的,at home;go home;home page,I usually get home at about six.,我通常大约六点到家。,house;residence,away,go home 中间一般不加 to。
162,never,A1,adv.,/ˈnevə(r)/,从不；绝不,never mind;never ever;almost never,I have never visited that museum.,我从未参观过那座博物馆。,not ever;at no time,always;often,never mind = 没关系。
163,include,A1,verb,/ɪnˈkluːd/,包括；包含,include in;included;to include,The price includes breakfast and tax.,价格已含早餐和税费。,contain;cover;comprise,exclude;omit,including / included 注意位置不同。
164,course,A1,noun,/kɔːs/,课程；过程；一道菜,of course;course of;take a course,She is taking an online English course.,她正在修一门在线英语课。,class;path;dish,,of course = 当然。
165,house,A1,noun; verb,/haʊs/,房子；住宅；安置,move house;house of;around the house,They bought a new house near the river.,他们在河边买了一栋新房子。,home;building;dwelling,,house 重建筑；home 重“家”的感觉。
166,report,A1,noun; verb,/rɪˈpɔːt/,报告；报道；汇报,news report;report on;make a report,He wrote a short report about the trip.,他写了一篇关于这次旅行的短报告。,account;announce;state,,report to sb = 向某人汇报。
167,group,A1,noun; verb,/ɡruːp/,组；团体；分组,group of;in groups;age group,"Work in groups of four, please.",请四人一组完成。,team;set;crowd,individual,a group of + 复数名词。
168,case,A1,noun,/keɪs/,情况；案例；箱子,in case;in this case;case of,Take an umbrella in case it rains.,带把伞以防下雨。,situation;instance;box,,in case = 以防；in case of = 如果发生。
169,woman,A1,noun,/ˈwʊmən/,女人；女性,young woman;women's;businesswoman,A woman asked for directions at the desk.,一位女士在服务台问路。,lady;female,man,复数 women，发音 /ˈwɪmɪn/。
170,around,A1,prep.; adv.,/əˈraʊnd/,在周围；大约；四处,around the world;look around;turn around,There are many cafés around the station.,车站周围有很多咖啡馆。,about;surrounding;nearby,,英式也常用 round。
171,book,A1,noun; verb,/bʊk/,书；预订,book a table;read a book;notebook,I need to book a ticket for Friday.,我需要预订周五的票。,volume;reserve;text,cancel,作动词 = reserve。
172,family,A1,noun; adj.,/ˈfæməli/,家庭；家人；家族的,family member;family life;in the family,My family likes cooking together at weekends.,我家人喜欢周末一起做饭。,household;relatives,,集体名词，动词单复数皆可（看语境）。
173,seem,A1,verb,/siːm/,似乎；好像,seem to;it seems;seem like,You seem tired today.,你今天看起来很累。,appear;look;sound,,It seems that… 很常用。
174,let,A1,verb,/let/,让；允许；出租,let me;let go;let alone,Please let me know if you need help.,如果你需要帮助请告诉我。,allow;permit;rent,forbid;prevent,let sb do（无 to）；let alone=更不必说。
175,again,A1,adv.,/əˈɡen/,再；又；重新,once again;again and again;over again,"Could you say that again, please?",请你再说一遍好吗？,once more;anew,,time and again = 一再。
176,kind,A1,noun; adj.,/kaɪnd/,种类；仁慈的；友好的,kind of;of this kind;be kind,What kind of music do you like?,你喜欢哪种音乐？,type;sort;gentle,cruel;unkind,a kind of… / kind of（口语“有点”）。
177,keep,A1,verb,/kiːp/,保持；继续；保存,keep going;keep in mind;keep up,Please keep the door closed.,请把门关着。,maintain;continue;hold,lose;abandon,keep + -ing = 持续做。
178,hear,A1,verb,/hɪə(r)/,听见；听说,hear about;hear from;hear of,Did you hear that strange noise?,你听到那个奇怪的声音了吗？,listen;catch;learn,ignore;miss,hear 无意识听见；listen 有意倾听。
179,system,A1,noun,/ˈsɪstəm/,系统；制度；方法,solar system;system of;operating system,The new booking system is easy to use.,新的预订系统很容易使用。,network;method;structure,,system 常指成套规则或装置。
180,every,A1,det.,/ˈevri/,每个；每隔,every day;every other;every one,Every student must submit the form.,每个学生都必须提交表格。,each;all,no;none,every 后接单数名词。
181,question,A1,noun; verb,/ˈkwestʃən/,问题；疑问；质疑,ask a question;in question;without question,"If you have a question, raise your hand.",如果有问题，请举手。,query;enquiry;doubt,answer,out of the question = 不可能。
182,during,A1,prep.,/ˈdjʊərɪŋ/,在……期间,during the day;during which;during the week,Please keep quiet during the exam.,考试期间请保持安静。,throughout;in the course of,,during + 名词；while + 从句。
183,always,A1,adv.,/ˈɔːlweɪz/,总是；永远,as always;always on;not always,She always arrives five minutes early.,她总是早到五分钟。,forever;constantly,never;rarely,频度副词，常放在实义动词前。
184,big,A1,adj.,/bɪɡ/,大的；重要的,big city;big deal;big enough,They live in a big house near the park.,他们住在公园附近的大房子里。,large;huge;important,small;tiny,口语常用；书面大体积也用 large。
185,set,A1,verb; noun; adj.,/set/,放置；设定；一套,set up;set off;a set of,Please set the table for dinner.,请摆好餐桌准备吃晚饭。,place;arrange;collection,,set up=建立；set off=出发。
186,small,A1,adj.,/smɔːl/,小的；少的,small town;small amount;in small,We need a smaller room for the meeting.,我们开会需要一间更小的房间。,little;tiny;minor,big;large,比 little 更偏客观尺寸。
187,study,A1,verb; noun,/ˈstʌdi/,学习；研究；书房,study for;case study;in study,She studies hard for the English test.,她为英语考试努力学习。,learn;research;examine,,study 重系统学习；learn 重获得结果。
188,follow,A1,verb,/ˈfɒləʊ/,跟随；遵循；理解,follow up;follow the rules;as follows,Please follow the instructions carefully.,请仔细按照说明操作。,chase;obey;understand,lead;ignore,as follows = 如下。
189,begin,A1,verb,/bɪˈɡɪn/,开始,begin with;begin to;to begin with,The show will begin at seven o'clock.,演出将在七点开始。,start;commence,end;finish,began / begun；to begin with=首先。
190,important,A1,adj.,/ɪmˈpɔːtnt/,重要的,important to;important for;most important,It is important to sleep well before exams.,考试前睡好觉很重要。,significant;essential;vital,unimportant;trivial,importance 是名词形式。
191,since,A1,prep.; conj.; adv.,/sɪns/,自从；因为；此后,ever since;since then;long since,I have lived here since 2018.,我自2018年以来一直住在这里。,from;because;as,,完成时常用 since + 时间点。
192,run,A1,verb; noun,/rʌn/,跑；经营；运行,run out;run a business;on the run,She runs every morning in the park.,她每天早上在公园跑步。,jog;operate;manage,walk;stop,run out of = 用完。
193,under,A1,prep.; adv.; adj.,/ˈʌndə(r)/,在……下面；不足；在……之下,under control;under the table;go under,The cat is hiding under the bed.,猫躲在床底下。,below;beneath,over;above,under 18 = 未满18岁。
194,turn,A1,verb; noun,/tɜːn/,转动；变成；轮到,turn on;turn off;in turn,Please turn left at the corner.,请在拐角处左转。,rotate;become;chance,,It's your turn. = 轮到你了。
195,few,A1,det.; adj.; pron.,/fjuː/,很少；几个,a few;few people;quite a few,Few people know the real story.,很少有人知道真相。,not many;scarce,many;lots,a few=有一些；few=几乎没有。
196,bring,A1,verb,/brɪŋ/,带来；引起,bring about;bring up;bring back,Please bring your notebook to class.,请把笔记本带到课堂上。,carry;fetch;cause,take;remove,bring 朝说话者来；take 带走。
197,early,A1,adj.; adv.,/ˈɜːli/,早的；提早,early morning;early on;as early as,We arrived early to get good seats.,我们早到是为了占到好座位。,soon;ahead of time,late,earlier / earliest。
198,hand,A1,noun; verb,/hænd/,手；递给；帮助,on the other hand;hand in;give a hand,Please hand in your homework now.,请现在交作业。,palm;pass;help,,hand in=上交；hands on=动手实践。
199,state,A1,noun; verb; adj.,/steɪt/,状态；州；陈述；国家的,state of;in a state;state that,Please state your full name clearly.,请清楚陈述你的全名。,condition;declare;nation,,the United States；state of mind=心态。
200,move,A1,verb; noun,/muːv/,移动；搬家；行动,move on;move in;make a move,They will move to a new city next month.,他们下个月将搬到一座新城市。,shift;relocate;action,stay;remain,move house = 搬家（英式）。
201,money,A1,noun,/ˈmʌni/,钱；货币；财富,make money;save money;spend money,I never carry much money in cash.,我从不随身带很多现金。,cash;funds;currency,,不可数；coins/notes 才可数。
202,fact,A1,noun,/fækt/,事实；实情,in fact;as a matter of fact;face the fact,"In fact, the story is based on real events.",事实上，这个故事基于真实事件。,truth;reality;detail,fiction;lie,in fact 用来澄清或强调。
203,however,A1,adv.; conj.,/haʊˈevə(r)/,然而；无论如何,however much;however far,"The plan sounded good; however, it was risky.",计划听起来不错，然而风险很大。,but;nevertheless;yet,,"句首常用逗号隔开：However, …"
204,area,A1,noun,/ˈeəriə/,地区；面积；领域,in the area;rural area;area of,This area is famous for its lakes.,这一带以湖泊闻名。,region;zone;field,,既指地理区域，也指知识领域。
205,provide,A1,verb,/prəˈvaɪd/,提供；供给,provide with;provide for;provide that,The hotel provides free Wi-Fi for guests.,酒店为客人提供免费无线网络。,supply;offer;give,withhold,provide sb with sth / provide sth for sb。
206,name,A1,noun; verb,/neɪm/,名字；名称；命名,by name;in the name of;full name,Please write your full name on the form.,请在表格上填写全名。,title;call;label,,in the name of = 以……名义。
207,read,A1,verb; noun,/riːd/,读；阅读；解读,read about;read aloud;read through,I like to read before I go to sleep.,我喜欢睡前阅读。,study;peruse;interpret,,过去式也读 /red/，拼写仍是 read。
